nombre,apellido,fecha_nacimiento,genero,usuario,password,carnet,correo,parqueo,foraneo,colegio
Jennifer,Ramsey,1947-12-24,Femenino,ynavarro,123456,85672149,jonrice@example.org,True,True,Mendoza, Ortega and Hill
Michael,Tucker,1968-05-22,Masculino,jacquelinephillips,123456,32168650,cynthiayoung@example.net,True,True,Richards-Bean
Charles,Allen,1939-06-09,Masculino,phillipsamy,123456,80121296,seannichols@example.com,True,False,Parks, Stewart and Phillips
Michael,Young,1928-03-22,Masculino,winterssandra,123456,59799104,tgreen@example.net,True,False,Hall-Brown
Ralph,Murillo,1978-07-24,Masculino,michellemarquez,123456,11676083,amyjohnston@example.com,False,True,Barton Ltd
Erik,Anderson,1934-09-15,Masculino,ericbrown,123456,64676712,bruce79@example.org,True,True,Smith-Buchanan
Jimmy,Jones,1952-09-10,Femenino,savannahhall,123456,468035,jack45@example.org,True,True,Strickland-Vargas
Shaun,Gomez,2009-02-21,Femenino,brandi98,123456,66458426,christinehooper@example.com,True,True,Johnson-Hart
Holly,Carey,2015-07-28,Masculino,reyesjason,123456,33949521,snyderkelly@example.com,True,False,Johnson-Townsend
Ashley,Reed,1954-08-21,Femenino,gsimon,123456,40080413,davisantonio@example.org,False,True,Medina, Murray and Webster
Eric,Singh,1957-01-27,Masculino,wford,123456,44802629,karen35@example.net,True,True,Robinson LLC
Elizabeth,Collins,1912-08-07,Masculino,james60,123456,4369692,kweaver@example.org,False,True,Pruitt-Diaz
Tony,Martin,1914-12-21,Masculino,erinbrown,123456,94296216,kellymay@example.net,True,True,Fitzgerald LLC
Angela,Garcia,2000-11-17,Masculino,jason07,123456,33669982,mooreebony@example.net,True,True,Warner, Clark and Sanchez
Amanda,Nash,1975-03-10,Masculino,kerri98,123456,51567067,jeancrawford@example.com,True,True,Pitts-Glass
Justin,Flores,1967-09-01,Masculino,spencernathan,123456,87822970,donnahall@example.com,True,False,Solis-Wolf
Laura,Stevens,1975-10-28,Masculino,nguyenelizabeth,123456,73090547,williamskimberly@example.com,False,False,Novak-Peters
Travis,Mckay,1909-04-22,Femenino,samantha12,123456,11944420,holmesamy@example.org,True,True,Henry and Sons
Justin,Sanders,2007-10-14,Femenino,mcgeejoel,123456,65217763,suzanneklein@example.org,False,False,Jackson, Melton and Gregory
Grant,Marsh,1982-08-23,Masculino,nelsondavid,123456,74148535,jessicathompson@example.net,True,True,Reyes, Sosa and Lawrence
Joseph,Pham,2012-04-24,Masculino,qpalmer,123456,22864893,jennifer55@example.com,True,False,Curry-Knight
Ariel,Moore,1928-11-01,Femenino,calebshaw,123456,88726841,csanchez@example.net,True,False,Lloyd, Smith and Nelson
Jonathan,Berry,1917-02-19,Masculino,stokesbrian,123456,17348011,mark73@example.net,True,False,Cooper-Lewis
Jason,Anderson,2021-06-21,Femenino,emorton,123456,90345638,thomasdouglas@example.net,False,True,Hall-King
Alisha,Smith,1949-01-12,Masculino,hburgess,123456,72780111,qwilliams@example.com,False,True,Caldwell, May and Dillon
Karen,Morse,2000-10-28,Femenino,brownkayla,123456,33366416,boothbrittany@example.net,True,False,Manning, Hall and Spencer
Christopher,Gibson,1990-12-03,Femenino,amy88,123456,98331527,baileyjanice@example.com,True,True,Bradford Ltd
Barbara,Ortiz,1944-11-25,Femenino,tsanders,123456,8914272,carrillobrent@example.net,True,True,Ramos Ltd
David,Ferrell,1985-10-22,Femenino,alanhowell,123456,77417083,garykelly@example.net,True,True,Clark, Contreras and Watson
Kristen,Cox,2012-01-04,Femenino,bradshawjohn,123456,35065297,david05@example.com,False,False,Lee, Clark and Thomas
Bradley,Nichols,1994-07-31,Femenino,vgallegos,123456,26953638,jessicahess@example.net,False,True,Morris LLC
Patricia,Frye,2016-07-17,Femenino,angela96,123456,5156835,davidsondavid@example.org,True,False,Preston Group
Patricia,Carr,2015-11-12,Masculino,biancarocha,123456,34323624,logan18@example.org,False,True,Jarvis Inc
Adrienne,Sharp,1928-12-09,Femenino,rlynch,123456,63389849,grace63@example.org,False,True,Williams and Sons
Morgan,Good,1985-03-10,Masculino,butlerchristopher,123456,41018410,gonzalezthomas@example.com,False,False,Arnold Inc
Jennifer,Combs,2010-08-05,Masculino,alison15,123456,25314302,thansen@example.com,True,False,Brown-Parker
Travis,Cordova,1909-09-10,Femenino,eturner,123456,79145751,gperez@example.com,False,False,Warren-Mcbride
Tony,Jefferson,2001-11-17,Femenino,yweiss,123456,86490230,kelly88@example.net,True,True,Guzman, Potter and Hoffman
Wesley,Walker,1993-03-21,Masculino,thomasrobertson,123456,54344052,coltonmitchell@example.net,True,True,Cobb-Bailey
Regina,Porter,1948-10-19,Femenino,shepherdchristopher,123456,63162257,etaylor@example.net,False,True,Hampton Group
Rachel,Smith,1920-12-09,Masculino,hector34,123456,47344098,nelsonamanda@example.org,True,False,Johnson, Vasquez and Martin
